id_operadora,operadora
112,Ideal Saúde 112
2,Mais Saúde Benefícios 002
3,Nacional Medical 003
4,Prime Vida Plena 004
5,Integra Assistência 005
6,Viva Planos 006
7,Brasil Serviços Médicos 007
8,Viva Medical 008
9,Regional Benefícios 009
10,Vida Care 010
11,Bem Estar Planos 011
12,Nova Vida Vida Plena 012
13,Vida Medical 013
14,Ideal Benefícios 014
15,Saúde Care 015
16,Uni Benefícios 016
17,Uni Vida Plena 017
18,Viva Saúde 018
19,Plena Saúde Integrada 019
264,Plena Assistência 264 - Unidade
21,Saúde Planos 021
22,Vida Saúde Integrada 022
23,Operadora Não Informada
24,Nacional Care 024
25,Operadora Não Informada
26,Mais Saúde Benefícios 026
109,Saúde Saúde 109
28,Integra Saúde 028
29,Equilíbrio Benefícios 029
30,Regional Planos 030
31,Total Vida Plena 031
32,Regional Serviços Médicos 032
33,Vida Planos 033
34,Cuidado Medical 034
35,Ideal Vida Plena 035
36,Essencial Saúde Brasil 036
37,Horizonte Benefícios 037
38,Regional Medical 038
39,Mais Saúde Saúde 039
40,Uni Saúde 040
41,Integra Benefícios 041
42,Mais Saúde Vida Plena 042
43,Saúde Medical 043
44,Nacional Serviços Médicos 044
55,Cuidado Saúde Brasil 055 - Unidade
46,Med Care 046
47,Integra Care 047
48,Integra Vida Plena 048
49,Equilíbrio Assistência 049
50,Nova Vida Vida Plena 050
51,Regional Planos 051
52,Cuidado Planos 052
53,Equilíbrio Saúde 053
54,Equilíbrio Saúde Brasil 054
56,Bem Estar Assistência 056
57,Ideal Care 057
58,Uni Assistência 058
59,Operadora Não Informada
60,Plena Serviços Médicos 060
61,Nacional Saúde Integrada 061
62,Essencial Assistência 062
63,Operadora Não Informada
64,Nova Vida Medical 064
65,Integra Planos 065
66,Cuidado Saúde 066
67,Brasil Assistência 067
68,Nova Vida Vida Plena 068
69,Horizonte Assistência 069
70,Essencial Planos 070
71,Med Medical 071
72,Total Saúde Brasil 072
73,Vida Planos 073
74,Operadora Não Informada
76,Essencial Saúde Brasil 076
77,Mais Saúde Planos 077
78,Ideal Saúde Integrada 078
79,Integra Assistência 079
80,Prime Serviços Médicos 080
81,Plena Benefícios 081
82,Mais Saúde Assistência 082
83,Ideal Assistência 083
84,Plena Saúde 084
85,Essencial Saúde Brasil 085
86,Integra Saúde Integrada 086
87,Plena Saúde Integrada 087
88,Brasil Serviços Médicos 088
89,Cuidado Vida Plena 089
90,Brasil Saúde Brasil 090
91,Mais Saúde Care 091
92,Ideal Saúde Integrada 092
93,Med Saúde Integrada 093
94,Vida Saúde Integrada 094
95,Mais Saúde Care 095
96,Nova Vida Assistência 096
97,Integra Saúde Brasil 097
98,Bem Estar Saúde Integrada 098
99,Integra Vida Plena 099
100,Essencial Serviços Médicos 100
249,Integra Vida Plena 249
102,Vida Medical 102
103,Ideal Planos 103
120,Nova Vida Saúde Brasil 120 - Unidade
105,Vida Saúde Brasil 105
107,Bem Estar Saúde 107
108,Mais Saúde Serviços Médicos 108
110,Saúde Benefícios 110
111,Total Vida Plena 111
113,Plena Benefícios 113
114,Nacional Medical 114
116,Total Assistência 116
117,Viva Care 117
119,Prime Serviços Médicos 119
121,Essencial Planos 121
122,Mais Saúde Saúde Integrada 122
123,Horizonte Planos 123
124,Nova Vida Assistência 124
125,Nacional Saúde 125
126,Bem Estar Assistência 126
127,Uni Benefícios 127
128,Nacional Serviços Médicos 128
129,Brasil Serviços Médicos 129
130,Mais Saúde Benefícios 130
131,Integra Care 131
132,Horizonte Benefícios 132
133,Equilíbrio Saúde Integrada 133
134,Nacional Saúde Brasil 134
135,Uni Saúde Integrada 135
136,Horizonte Serviços Médicos 136
137,Cuidado Saúde Integrada 137
138,Mais Saúde Care 138
139,Bem Estar Medical 139
140,Vida Saúde Brasil 140
141,Nova Vida Saúde Integrada 141
142,Plena Benefícios 142
143,Brasil Saúde Integrada 143
144,Vida Benefícios 144
145,Integra Saúde Integrada 145
146,Plena Care 146
147,Nacional Saúde Integrada 147
148,Prime Assistência 148
149,Cuidado Planos 149
150,Ideal Assistência 150
152,Integra Serviços Médicos 152
153,Nacional Benefícios 153
154,Bem Estar Medical 154
155,Vida Planos 155
156,Viva Medical 156
157,Regional Medical 157
158,Prime Planos 158
160,Horizonte Medical 160
161,Brasil Planos 161
162,Uni Assistência 162
163,Vida Care 163
164,Regional Saúde 164
165,Cuidado Benefícios 165
166,Essencial Saúde Brasil 166
167,Nova Vida Saúde Integrada 167
168,Saúde Medical 168
169,Total Medical 169
170,Total Vida Plena 170
172,Saúde Care 172
173,Regional Saúde Integrada 173
174,Nova Vida Assistência 174
175,Integra Assistência 175
176,Integra Vida Plena 176
177,Ideal Medical 177
178,Cuidado Serviços Médicos 178
179,Saúde Assistência 179
180,Total Assistência 180
181,Regional Care 181
182,Ideal Benefícios 182
183,Equilíbrio Saúde 183
184,Regional Saúde Brasil 184
185,Cuidado Planos 185
186,Plena Saúde 186
187,Viva Serviços Médicos 187
284,Brasil Assistência 284 - Unidade
189,Bem Estar Saúde Integrada 189
190,Nova Vida Saúde 190
191,Horizonte Saúde Brasil 191
192,Regional Medical 192
193,Med Serviços Médicos 193
194,Bem Estar Benefícios 194
195,Cuidado Benefícios 195
196,Med Saúde 196
197,Integra Benefícios 197
198,Med Serviços Médicos 198
199,Viva Medical 199
200,Cuidado Medical 200
201,Saúde Medical 201
202,Viva Medical 202
203,Nacional Vida Plena 203
253,Total Medical 253
205,Cuidado Care 205
206,Med Benefícios 206
207,Brasil Vida Plena 207
208,Operadora Não Informada
209,Vida Serviços Médicos 209
210,Operadora Não Informada
211,Total Medical 211
212,Total Vida Plena 212
213,Equilíbrio Vida Plena 213
214,Regional Care 214
215,Horizonte Medical 215
216,Brasil Saúde 216
217,Nova Vida Care 217
218,Saúde Serviços Médicos 218
219,Nacional Vida Plena 219
220,Prime Serviços Médicos 220
221,Mais Saúde Saúde Integrada 221
222,Mais Saúde Serviços Médicos 222
223,Regional Serviços Médicos 223
224,Bem Estar Benefícios 224
225,Saúde Care 225
226,Cuidado Care 226
297,Saúde Saúde 297 - Unidade
228,Ideal Planos 228
229,Horizonte Serviços Médicos 229
230,Prime Benefícios 230
231,Saúde Saúde Brasil 231
232,Uni Medical 232
233,Brasil Medical 233
234,Regional Assistência 234
235,Saúde Planos 235
236,Ideal Saúde Brasil 236
237,Viva Saúde Integrada 237
238,Med Saúde Brasil 238
240,Total Assistência 240
241,Operadora Não Informada
242,Integra Assistência 242
244,Viva Saúde Integrada 244
245,Regional Serviços Médicos 245
246,Saúde Benefícios 246
247,Brasil Serviços Médicos 247
248,Viva Planos 248
250,Vida Benefícios 250
268,Uni Care 268
252,Integra Benefícios 252
254,Bem Estar Medical 254
255,Viva Planos 255
256,Total Saúde 256
257,Nacional Benefícios 257
258,Cuidado Benefícios 258
259,Integra Medical 259
260,Brasil Saúde 260
278,Nova Vida Saúde Brasil 278 - Unidade
262,Vida Medical 262
263,Saúde Saúde Brasil 263
265,Nova Vida Serviços Médicos 265
266,Nacional Care 266
267,Uni Saúde Integrada 267
269,Saúde Serviços Médicos 269
270,Med Vida Plena 270
271,Essencial Planos 271
273,Total Benefícios 273
274,Plena Assistência 274
275,Uni Saúde Brasil 275
276,Viva Care 276
277,Operadora Não Informada
279,Vida Benefícios 279
280,Total Saúde 280
281,Nacional Care 281
282,Cuidado Medical 282
283,Uni Care 283
285,Prime Medical 285
286,Ideal Planos 286
287,Cuidado Saúde Brasil 287
288,Horizonte Saúde Brasil 288
289,Horizonte Care 289
290,Operadora Não Informada
291,Bem Estar Assistência 291
9999,Plena Care 292
293,Operadora Não Informada
294,Cuidado Planos 294
295,Viva Planos 295
296,Nova Vida Saúde 296
298,Uni Saúde Integrada 298
299,Nacional Vida Plena 299
300,Viva Vida Plena 300
-1,Não Identificada
